Ano;Mês;Dia;Irradiação
2021;Mar;2;5,98
2021;Mar;3;6
2021;Mar;4;4,38
2021;Mar;5;3,69
2021;Mar;6;6,02
2021;Mar;7;2,87
2021;Mar;8;4,9
2021;Mar;9;6,56
2021;Mar;10;6,08
2021;Mar;11;6
2021;Mar;12;5,33
2021;Mar;13;5,91
2021;Mar;14;6,65
2021;Mar;15;5,47
2021;Mar;16;4,43
2021;Mar;17;3,76
2021;Mar;18;5,54
2021;Mar;19;6,76
2021;Mar;20;6,45
2021;Mar;21;4,83
2021;Mar;22;5,36
2021;Mar;23;5,91
2021;Mar;24;4,47
2021;Mar;25;3,5
2021;Mar;26;3,54
2021;Mar;27;1,42
2021;Mar;28;5,65
2021;Mar;29;6,4
2021;Mar;30;5,8
2021;Mar;31;2,36
2021;Abr;1;6,77
2021;Abr;2;6,39
2021;Abr;3;6
2021;Abr;4;6,27
2021;Abr;5;6,55
2021;Abr;6;6,24
2021;Abr;7;4,71
2021;Abr;8;5,98
2021;Abr;9;5,35
2021;Abr;10;6,63
2021;Abr;11;2,69
2021;Abr;12;6,21
2021;Abr;13;5,07
2021;Abr;14;6,36
2021;Abr;15;4,85
2021;Abr;16;6,26
2021;Abr;17;5,14
2021;Abr;18;5,03
2021;Abr;19;4,46
2021;Abr;20;5,79
2021;Abr;21;5,81
2021;Abr;22;5,27
2021;Abr;23;4,4
2021;Abr;24;4,73
2021;Abr;25;6,27
2021;Abr;26;6,5
2021;Abr;27;6,49
2021;Abr;28;5,66
2021;Abr;29;5,1
2021;Abr;30;5,51
2021;Mai;1;5,78
2021;Mai;2;3,65
2021;Mai;3;2,23
2021;Mai;4;2,63
2021;Mai;5;4,61
2021;Mai;6;4,32
2021;Mai;7;5,92
2021;Mai;8;4,25
2021;Mai;9;6,17
2021;Mai;10;6,13
2021;Mai;11;5,61
2021;Mai;12;5,4
2021;Mai;13;3,55
2021;Mai;14;1,5
2021;Mai;15;3,51
2021;Mai;16;6,09
2021;Mai;17;5,98
2021;Mai;18;5,84
2021;Mai;19;5,21
2021;Mai;20;6,08
2021;Mai;21;6,17
